GEOID,NAME,variable,estimate,moe
13071,"Colquitt County, Georgia",population,45606,NA
13073,"Columbia County, Georgia",population,147295,NA
13075,"Cook County, Georgia",population,17184,NA
13077,"Coweta County, Georgia",population,140516,NA
13079,"Crawford County, Georgia",population,12344,NA
13081,"Crisp County, Georgia",population,22846,NA
13083,"Dade County, Georgia",population,16227,NA
13085,"Dawson County, Georgia",population,23861,NA
13087,"Decatur County, Georgia",population,26833,NA
13089,"DeKalb County, Georgia",population,743187,NA
13091,"Dodge County, Georgia",population,20919,NA
13093,"Dooly County, Georgia",population,13905,NA
13095,"Dougherty County, Georgia",population,91049,NA
13097,"Douglas County, Georgia",population,141840,NA
13099,"Early County, Georgia",population,10348,NA
13101,"Echols County, Georgia",population,3994,NA
13103,"Effingham County, Georgia",population,58689,NA
13105,"Elbert County, Georgia",population,19212,NA
13107,"Emanuel County, Georgia",population,22499,NA
13109,"Evans County, Georgia",population,10727,NA
13111,"Fannin County, Georgia",population,24925,NA
13113,"Fayette County, Georgia",population,111369,NA
13115,"Floyd County, Georgia",population,96824,NA
13117,"Forsyth County, Georgia",population,219880,NA
13119,"Franklin County, Georgia",population,22514,NA
13121,"Fulton County, Georgia",population,1021902,NA
13123,"Gilmer County, Georgia",population,29922,NA
13125,"Glascock County, Georgia",population,3009,NA
13127,"Glynn County, Georgia",population,83974,NA
13129,"Gordon County, Georgia",population,56790,NA
13131,"Grady County, Georgia",population,24926,NA
13133,"Greene County, Georgia",population,16976,NA
13135,"Gwinnett County, Georgia",population,902298,NA
13137,"Habersham County, Georgia",population,44289,NA
13139,"Hall County, Georgia",population,195961,NA
13141,"Hancock County, Georgia",population,8535,NA
13143,"Haralson County, Georgia",population,28956,NA
13145,"Harris County, Georgia",population,33590,NA
13147,"Hart County, Georgia",population,25631,NA
13149,"Heard County, Georgia",population,11677,NA
13151,"Henry County, Georgia",population,221307,NA
13153,"Houston County, Georgia",population,151682,NA
13155,"Irwin County, Georgia",population,9268,NA
13157,"Jackson County, Georgia",population,65755,NA
13159,"Jasper County, Georgia",population,13784,NA
13161,"Jeff Davis County, Georgia",population,14991,NA
13163,"Jefferson County, Georgia",population,15772,NA
13165,"Jenkins County, Georgia",population,8827,NA
13167,"Johnson County, Georgia",population,9730,NA
13169,"Jones County, Georgia",population,28548,NA
13171,"Lamar County, Georgia",population,18513,NA
13173,"Lanier County, Georgia",population,10366,NA
13175,"Laurens County, Georgia",population,47418,NA
13177,"Lee County, Georgia",population,29348,NA
13179,"Liberty County, Georgia",population,62108,NA
13181,"Lincoln County, Georgia",population,7799,NA
13183,"Long County, Georgia",population,18156,NA
13185,"Lowndes County, Georgia",population,114582,NA
13187,"Lumpkin County, Georgia",population,31951,NA
13189,"McDuffie County, Georgia",population,21498,NA
13191,"McIntosh County, Georgia",population,14120,NA
13193,"Macon County, Georgia",population,13480,NA
13195,"Madison County, Georgia",population,28900,NA
13197,"Marion County, Georgia",population,8484,NA
13199,"Meriwether County, Georgia",population,21113,NA
13201,"Miller County, Georgia",population,5836,NA
13205,"Mitchell County, Georgia",population,22432,NA
13207,"Monroe County, Georgia",population,27010,NA
13209,"Montgomery County, Georgia",population,9036,NA
13211,"Morgan County, Georgia",population,18235,NA
13213,"Murray County, Georgia",population,39557,NA
13215,"Muscogee County, Georgia",population,196670,NA
13217,"Newton County, Georgia",population,106497,NA
13219,"Oconee County, Georgia",population,37017,NA
13221,"Oglethorpe County, Georgia",population,14784,NA
13223,"Paulding County, Georgia",population,155840,NA
13225,"Peach County, Georgia",population,26966,NA
13227,"Pickens County, Georgia",population,30832,NA
13229,"Pierce County, Georgia",population,19164,NA
13231,"Pike County, Georgia",population,18082,NA
13233,"Polk County, Georgia",population,41621,NA
13235,"Pulaski County, Georgia",population,11295,NA
13237,"Putnam County, Georgia",population,21503,NA
13239,"Quitman County, Georgia",population,2276,152
13241,"Rabun County, Georgia",population,16457,NA
13243,"Randolph County, Georgia",population,7087,NA
13245,"Richmond County, Georgia",population,201463,NA
13247,"Rockdale County, Georgia",population,89011,NA
13249,"Schley County, Georgia",population,5211,NA
13251,"Screven County, Georgia",population,13990,NA
13253,"Seminole County, Georgia",population,8437,NA
13255,"Spalding County, Georgia",population,64719,NA
13257,"Stephens County, Georgia",population,25676,NA
13259,"Stewart County, Georgia",population,6042,NA
13261,"Sumter County, Georgia",population,30352,NA
13263,"Talbot County, Georgia",population,6378,NA
13265,"Taliaferro County, Georgia",population,1665,152
